"Name","Poverty by Poverty Level"
"Description","Poverty level is the ratio of household income to the Federal Poverty Level (FPL).&nbsp;The FPL varies based on the number of children and adults in a household and the age of the head of household. In 2018, <a href=""https://familiesusa.org/resources/federal-poverty-guidelines/"" target=""_blank"">the annual income thresholds for a family of four</a> would correspond to the following breakdown of poverty levels:<br />
Below 100% FPL = Below $25,100&nbsp;<br />
100 to 199% FPL = $25,100 to $50,199<br />
Below 200% FPL = Below $50,200<br />
200 to 399% FPL = $50,200 to $100,399<br />
400% FPL and above = $100,400 and above"
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample Files (2005-2018). Retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the total population for whom poverty status was determined."

Location,Poverty Level,TimeFrame,DataFormat,Data,Fips
Greenwich Village,200 to 399% FPL,2018,Number,9283.34339,102
Greenwich Village,400% FPL and above,2018,Number,67063.39251,102
Lower East Side,Below 100% FPL,2005,Number,38327,103
Lower East Side,100 to 199% FPL,2005,Number,31588,103
Lower East Side,Below 200% FPL,2005,Number,69915,103
Lower East Side,200 to 399% FPL,2005,Number,36046,103
Lower East Side,400% FPL and above,2005,Number,38253,103
Lower East Side,Below 100% FPL,2006,Number,41635,103
Lower East Side,100 to 199% FPL,2006,Number,37757,103
Lower East Side,Below 200% FPL,2006,Number,79392,103
Lower East Side,200 to 399% FPL,2006,Number,47230,103
Lower East Side,400% FPL and above,2006,Number,47401,103
Lower East Side,Below 100% FPL,2007,Number,45736,103
Lower East Side,100 to 199% FPL,2007,Number,41565,103
Lower East Side,Below 200% FPL,2007,Number,87301,103
Lower East Side,200 to 399% FPL,2007,Number,35140,103
Lower East Side,400% FPL and above,2007,Number,45051,103
Lower East Side,Below 100% FPL,2008,Number,41776,103
Lower East Side,100 to 199% FPL,2008,Number,33997,103
Lower East Side,Below 200% FPL,2008,Number,75773,103
Lower East Side,200 to 399% FPL,2008,Number,36626,103
Lower East Side,400% FPL and above,2008,Number,50756,103
Lower East Side,Below 100% FPL,2009,Number,37759,103
Lower East Side,100 to 199% FPL,2009,Number,36830,103
