"Name","Family Income"
"Description","Families by income level."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Summary Table B19101 (2005-2018); retrieved from https://data.census.gov/.&nbsp;"
"Notes",""

Location,Income Level,TimeFrame,DataFormat,Data,Fips
Mott Haven,"$100,000 to $199,999",2016,Number,1681.081,201
Mott Haven,"$75,000 to $99,999",2016,Number,1727.547,201
Mott Haven,"$25,000 to $34,999",2016,Number,2964.329,201
Mott Haven,"$50,000 to $74,999",2016,Number,3042.622,201
Mott Haven,"$15,000 to $24,999",2016,Number,3155.925,201
Mott Haven,"$35,000 to $49,999",2016,Number,3978.961,201
Mott Haven,"Under $15,000",2016,Number,6083.972,201
Hunts Point,"$200,000 or more",2016,Percent,0.017,202
Hunts Point,"$100,000 to $199,999",2016,Percent,0.073,202
Hunts Point,"$75,000 to $99,999",2016,Percent,0.075,202
Hunts Point,"$25,000 to $34,999",2016,Percent,0.129,202
Hunts Point,"$50,000 to $74,999",2016,Percent,0.132,202
Hunts Point,"$15,000 to $24,999",2016,Percent,0.137,202
Hunts Point,"$35,000 to $49,999",2016,Percent,0.173,202
Hunts Point,"Under $15,000",2016,Percent,0.264,202
Hunts Point,"$200,000 or more",2016,Number,223.169,202
Hunts Point,"$100,000 to $199,999",2016,Number,959.919,202
Hunts Point,"$75,000 to $99,999",2016,Number,986.453,202
Hunts Point,"$25,000 to $34,999",2016,Number,1692.671,202
Hunts Point,"$50,000 to $74,999",2016,Number,1737.378,202
Hunts Point,"$15,000 to $24,999",2016,Number,1802.075,202
Hunts Point,"$35,000 to $49,999",2016,Number,2272.039,202
Hunts Point,"Under $15,000",2016,Number,3474.028,202
Morrisania,"$200,000 or more",2016,Percent,0.008,203
Morrisania,"$75,000 to $99,999",2016,Percent,0.065,203
Morrisania,"$100,000 to $199,999",2016,Percent,0.074,203
Morrisania,"$25,000 to $34,999",2016,Percent,0.136,203
Morrisania,"$50,000 to $74,999",2016,Percent,0.147,203
Morrisania,"$35,000 to $49,999",2016,Percent,0.164,203
Morrisania,"$15,000 to $24,999",2016,Percent,0.176,203
Morrisania,"Under $15,000",2016,Percent,0.231,203
Morrisania,"$200,000 or more",2016,Number,138.946,203
Morrisania,"$75,000 to $99,999",2016,Number,1180.554,203
Morrisania,"$100,000 to $199,999",2016,Number,1356.194,203
Morrisania,"$25,000 to $34,999",2016,Number,2483.909,203
Morrisania,"$50,000 to $74,999",2016,Number,2682.054,203
Morrisania,"$35,000 to $49,999",2016,Number,2991.258,203
Morrisania,"$15,000 to $24,999",2016,Number,3209.463,203
Morrisania,"Under $15,000",2016,Number,4226.608,203
Concourse/Highbridge,"$200,000 or more",2016,Percent,0.013,204
Concourse/Highbridge,"$100,000 to $199,999",2016,Percent,0.084,204
Concourse/Highbridge,"$75,000 to $99,999",2016,Percent,0.092,204
Concourse/Highbridge,"$25,000 to $34,999",2016,Percent,0.108,204
Concourse/Highbridge,"$15,000 to $24,999",2016,Percent,0.161,204
Concourse/Highbridge,"$35,000 to $49,999",2016,Percent,0.164,204
Concourse/Highbridge,"$50,000 to $74,999",2016,Percent,0.168,204
Concourse/Highbridge,"Under $15,000",2016,Percent,0.211,204
Concourse/Highbridge,"$200,000 or more",2016,Number,440,204
Concourse/Highbridge,"$100,000 to $199,999",2016,Number,2828,204
Concourse/Highbridge,"$75,000 to $99,999",2016,Number,3109,204
Concourse/Highbridge,"$25,000 to $34,999",2016,Number,3656,204
Concourse/Highbridge,"$15,000 to $24,999",2016,Number,5438,204
Concourse/Highbridge,"$35,000 to $49,999",2016,Number,5564,204
