"Name","Household Income"
"Description","Households by income level."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Summary Table B19001 (2005-2018); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes",""

Location,Income Level,TimeFrame,DataFormat,Data,Fips
Central Harlem,"$15,000 to $24,999",2005,Percent,0.10975,110
East Harlem,"$15,000 to $24,999",2005,Percent,0.15804,111
Washington Heights,"$15,000 to $24,999",2005,Percent,0.15913,112
Mott Haven,"$15,000 to $24,999",2005,Percent,0.14024,201
Hunts Point,"$15,000 to $24,999",2005,Percent,0.14024,202
Morrisania,"$15,000 to $24,999",2005,Percent,0.17192,203
Concourse/Highbridge,"$15,000 to $24,999",2005,Percent,0.17829,204
University Heights,"$15,000 to $24,999",2005,Percent,0.16311,205
East Tremont,"$15,000 to $24,999",2005,Percent,0.17192,206
Bedford Park,"$15,000 to $24,999",2005,Percent,0.14982,207
Riverdale,"$15,000 to $24,999",2005,Percent,0.10544,208
Unionport/Soundview,"$15,000 to $24,999",2005,Percent,0.15317,209
Throgs Neck,"$15,000 to $24,999",2005,Percent,0.11051,210
Pelham Parkway,"$15,000 to $24,999",2005,Percent,0.11271,211
Williamsbridge,"$15,000 to $24,999",2005,Percent,0.11772,212
Williamsburg/Greenpoint,"$15,000 to $24,999",2005,Percent,0.14047,301
Fort Greene/Brooklyn Hts,"$15,000 to $24,999",2005,Percent,0.09792,302
Bedford Stuyvesant,"$15,000 to $24,999",2005,Percent,0.17628,303
Bushwick,"$15,000 to $24,999",2005,Percent,0.15821,304
East New York,"$15,000 to $24,999",2005,Percent,0.11707,305
Park Slope,"$15,000 to $24,999",2005,Percent,0.07648,306
Sunset Park,"$15,000 to $24,999",2005,Percent,0.13291,307
Crown Heights North,"$15,000 to $24,999",2005,Percent,0.13775,308
Crown Heights South,"$15,000 to $24,999",2005,Percent,0.11237,309
Bay Ridge,"$15,000 to $24,999",2005,Percent,0.11069,310
Bensonhurst,"$15,000 to $24,999",2005,Percent,0.11404,311
Borough Park,"$15,000 to $24,999",2005,Percent,0.15566,312
Coney Island,"$15,000 to $24,999",2005,Percent,0.12318,313
Flatbush/Midwood,"$15,000 to $24,999",2005,Percent,0.12038,314
Sheepshead Bay,"$15,000 to $24,999",2005,Percent,0.1064,315
Brownsville,"$15,000 to $24,999",2005,Percent,0.13985,316
East Flatbush,"$15,000 to $24,999",2005,Percent,0.10852,317
Canarsie,"$15,000 to $24,999",2005,Percent,0.12304,318
Astoria,"$15,000 to $24,999",2005,Percent,0.13901,401
Sunnyside/Woodside,"$15,000 to $24,999",2005,Percent,0.15637,402
Jackson Heights,"$15,000 to $24,999",2005,Percent,0.14967,403
Elmhurst/Corona,"$15,000 to $24,999",2005,Percent,0.13323,404
Ridgewood/Glendale,"$15,000 to $24,999",2005,Percent,0.11029,405
Rego Park/Forest Hills,"$15,000 to $24,999",2005,Percent,0.10633,406
Flushing,"$15,000 to $24,999",2005,Percent,0.11304,407
Fresh Meadows/Briarwood,"$15,000 to $24,999",2005,Percent,0.1337,408
Woodhaven,"$15,000 to $24,999",2005,Percent,0.10307,409
Howard Beach,"$15,000 to $24,999",2005,Percent,0.11474,410
Bayside,"$15,000 to $24,999",2005,Percent,0.08221,411
Jamaica/St. Albans,"$15,000 to $24,999",2005,Percent,0.11385,412
Queens Village,"$15,000 to $24,999",2005,Percent,0.04983,413
The Rockaways,"$15,000 to $24,999",2005,Percent,0.10842,414
St. George,"$15,000 to $24,999",2005,Percent,0.10592,501
